X Y  Z
 0.00000000000000E+0000 -2.66960247469917E+0000  1.28202613285756E+0000
 0.00000000000000E+0000 -4.32470638874947E+0000  1.33661823212318E+0000
 0.00000000000000E+0000 -6.06256549850229E+0000  1.40201422151751E+0000
 0.00000000000000E+0000 -7.88731756374275E+0000  1.47414808474701E+0000
 0.00000000000000E+0000 -9.80330723224523E+0000  1.54926660354756E+0000
 0.00000000000000E+0000 -1.18150963841728E+0001  1.62533087460367E+0000
 0.00000000000000E+0000 -1.39274749936968E+0001  1.70060063061592E+0000
 0.00000000000000E+0000 -1.61454725336970E+0001  1.77078683164377E+0000
 0.00000000000000E+0000 -1.84743699506972E+0001  1.82721379629682E+0000
 0.00000000000000E+0000 -2.09197122385474E+0001  1.85909978035774E+0000
 3.00000000000000E+0000  1.20000000000000E+0001  7.39237506212440E-0001
 3.00000000000000E+0000  1.10783762096846E+0001  8.38341578581291E-0001
 3.00000000000000E+0000  1.01106712298535E+0001  9.60387216632841E-0001
 3.00000000000000E+0000  9.09458100103088E+0000  1.03938616359575E+0000
 3.00000000000000E+0000  8.02768626076708E+0000  1.07083452656723E+0000
 3.00000000000000E+0000  6.90744678349009E+0000  1.08244589938675E+0000
 3.00000000000000E+0000  5.73119533234925E+0000  1.09482019531294E+0000
 3.00000000000000E+0000  4.49613130865137E+0000  1.11453619523205E+0000
 3.00000000000000E+0000  3.19931408376860E+0000  1.14030471036223E+0000
 3.00000000000000E+0000  1.83765599764168E+0000  1.16889640772808E+0000
 3.00000000000000E+0000  4.07915007208423E-0001  1.19927678300080E+0000
 3.00000000000000E+0000 -1.09331303274650E+0000  1.23397645007718E+0000
 3.00000000000000E+0000 -2.66960247469917E+0000  1.27747107164747E+0000
 3.00000000000000E+0000 -4.32470638874947E+0000  1.33272711533518E+0000
 3.00000000000000E+0000 -6.06256549850229E+0000  1.39863841309822E+0000
 3.00000000000000E+0000 -7.88731756374275E+0000  1.47116813458804E+0000
 3.00000000000000E+0000 -9.80330723224523E+0000  1.54658860241093E+0000
 3.00000000000000E+0000 -1.18150963841728E+0001  1.62287557778788E+0000
 3.00000000000000E+0000 -1.39274749936968E+0001  1.69829724007321E+0000
 3.00000000000000E+0000 -1.61454725336970E+0001  1.76857363920467E+0000
 3.00000000000000E+0000 -1.84743699506972E+0001  1.82504358126923E+0000
 3.00000000000000E+0000 -2.09197122385474E+0001  1.85694406147018E+0000
 4.50000000000000E+0000  1.19500000000000E+0001  7.30372048838211E-0001
 4.50000000000000E+0000  1.10297760150408E+0001  8.27676111732934E-0001
 4.50000000000000E+0000  1.00635408308337E+0001  9.47626910221098E-0001
 4.50000000000000E+0000  9.04899388741627E+0000  1.02556605216478E+0000
 4.50000000000000E+0000  7.98371959682793E+0000  1.05739298094251E+0000
 4.50000000000000E+0000  6.86518159171017E+0000  1.07008818833202E+0000
 4.50000000000000E+0000  5.69071668633653E+0000  1.08377995962705E+0000
 4.50000000000000E+0000  4.45752853569420E+0000  1.10459998859110E+0000
 4.50000000000000E+0000  3.16268097751976E+0000  1.13128581798539E+0000
 4.50000000000000E+0000  1.80309104143659E+0000  1.16075712059488E+0000
 4.50000000000000E+0000  3.75521608549272E-0001  1.19210367803096E+0000
 4.50000000000000E+0000 -1.12342629598242E+0000  1.22781118847087E+0000
 4.50000000000000E+0000 -2.69732159574069E+0000  1.27223235218530E+0000
 4.50000000000000E+0000 -4.34991166048688E+0000  1.32825078065223E+0000
 4.50000000000000E+0000 -6.08513122847038E+0000  1.39475386853842E+0000
 4.50000000000000E+0000 -7.90711177485305E+0000  1.46773590916618E+0000
 4.50000000000000E+0000 -9.82019134855486E+0000  1.54349943993927E+0000
 4.50000000000000E+0000 -1.18289249009417E+0001  1.62003815323133E+0000
 4.50000000000000E+0000 -1.39380951309480E+0001  1.69563064273767E+0000
 4.50000000000000E+0000 -1.61527238724546E+0001  1.76600775437391E+0000
 4.50000000000000E+0000 -1.84780840510364E+0001  1.82252516107800E+0000
 4.50000000000000E+0000 -2.09197122385474E+0001  1.85444136617273E+0000
 6.00000000000000E+0000  1.19000000000000E+0001  7.28535552824149E-0001
 6.00000000000000E+0000  1.09811758203970E+0001  8.21241495393646E-0001
 6.00000000000000E+0000  1.00164104318139E+0001  9.35814327668736E-0001
 6.00000000000000E+0000  9.00340677380166E+0000  1.01097620558391E+0000
 6.00000000000000E+0000  7.93975293288878E+0000  1.04260868588441E+0000
 6.00000000000000E+0000  6.82291639993026E+0000  1.05655239257564E+0000
 6.00000000000000E+0000  5.65023804032381E+0000  1.07173614374978E+0000
 6.00000000000000E+0000  4.41892576273704E+0000  1.09393000352630E+0000
 6.00000000000000E+0000  3.12604787127093E+0000  1.12169738066740E+0000
 6.00000000000000E+0000  1.76852608523151E+0000  1.15212006669264E+0000
 6.00000000000000E+0000  3.43128209890121E-0001  1.18445348243073E+0000
 6.00000000000000E+0000 -1.15353955921834E+0000  1.22120013878200E+0000
 6.00000000000000E+0000 -2.72504071678222E+0000  1.26659693153410E+0000
 6.00000000000000E+0000 -4.37511693222429E+0000  1.32342865390438E+0000
 6.00000000000000E+0000 -6.10769695843847E+0000  1.39056426129706E+0000
 6.00000000000000E+0000 -7.92690598596336E+0000  1.46402779305423E+0000
